fiscal_year,service,branch,profile_id,profile,fund_type,fund,approved
2023,Building Renewal,Infrastructure Planning and Design,15-75-3102,Facility Energy Retrofits and Greenhouse Gas Red'n,Pay-As-You-Go (PAYG),Pay-As-You-Go,25000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Grants,Munc Sustain. Initiative - MSI,6882000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,227000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Reserves,Heritage Resources Reserve,200000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-13-0000,Facility: Service Support - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,1129000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-10-1012,On-Site Microgeneration Solar Photovoltaics,Tax-Supported Debt,Tax-Supported Debt,1200000.00
2023,Corporate Support,Development Services,CM-17-2040,Urban Planning & Economy Service Transformation,Reserves,Planning and Development Reserve,1248000.00
2023,Corporate Support,Fleet and Facility Services,CM-17-2000,Emissions Neutral City Fleet and Equipment,Pay-As-You-Go (PAYG),Pay-As-You-Go,279000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-3002,"Fleet Fluid Storage, Dispensing and Disposal Systems",Pay-As-You-Go (PAYG),Pay-As-You-Go,192000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-3005,Tools & Shop Equipment Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,229000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Pay-As-You-Go (PAYG),Pay-As-You-Go,145000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Reserves,Financial Stabilization Resrv.,75000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Reserves,Fleet Services Replacement Rsv,29389000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Reserves,Vehicle for Hire,7000.00
2023,Corporate Support,Fleet and Facility Services,CM-25-3003,Vehicle and Equipment Service Lift Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,625000.00
2023,Corporate Support,Infrastructure Delivery,24-10-9411,Kathleen Andrews Transit Garage Solar PV & Battery Projects,Tax-Supported Debt,Tax-Supported Debt,52000.00
2023,Corporate Support,Infrastructure Delivery,20-10-9001,O'Keefe Maintenance Yard OH&S Improvements,Pay-As-You-Go (PAYG),Pay-As-You-Go,1000.00
2023,Corporate Support,Infrastructure Delivery,22-10-9311,Relocation of Staff from City Centre West,Pay-As-You-Go (PAYG),Pay-As-You-Go,281000.00
2023,Corporate Support,Infrastructure Planning and Design,19-10-1013,Ambleside Integrated Site - Phase 1,Tax-Supported Debt,Tax-Supported Debt,606000.00
2023,Corporate Support,Infrastructure Planning and Design,CM-10-1010,Facility: Planning and Design - Growth,Grants,Munc Sustain. Initiative - MSI,3036000.00
2023,Corporate Support,Infrastructure Planning and Design,CM-10-1010,Facility: Planning and Design - Growth,Pay-As-You-Go (PAYG),Pay-As-You-Go,-159000.00
2023,Corporate Support,Infrastructure Planning and Design,CM-99-9000,Infrastructure Delivery - Growth,Grants,Federal - Active Transportation Fund,50000.00
2023,Corporate Support,Infrastructure Planning and Design,CM-99-9000,Infrastructure Delivery - Growth,Grants,Munc Sustain. Initiative - MSI,607000.00
2023,Corporate Support,Infrastructure Planning and Design,CM-99-9000,Infrastructure Delivery - Growth,Pay-As-You-Go (PAYG),Pay-As-You-Go,2820000.00
2023,Corporate Support,Infrastructure Planning and Design,CM-99-0001,"Infrastructure, Planning and Design - Composite Growth",Pay-As-You-Go (PAYG),Pay-As-You-Go,8000.00
2023,Corporate Support,Open City and Technology,19-18-1901,Information Security and Disaster Recovery Enhancements,Pay-As-You-Go (PAYG),Pay-As-You-Go,68000.00
2023,Corporate Support,Open City and Technology,19-51-1904,Next Generation 9-1-1 (NG911) IP Call Handling,Pay-As-You-Go (PAYG),Pay-As-You-Go,100000.00
2023,Corporate Support,Open City and Technology,19-18-1903,Recreation and Attractions Management (RAMS) Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,253000.00
2023,Corporate Support,Open City and Technology,23-51-1905,Taxation Assessment Collections System (TACS) Transformation,Pay-As-You-Go (PAYG),Pay-As-You-Go,22000.00
2023,Corporate Support,Open City and Technology,CM-18-1510,Technology Applications - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,1458000.00
2023,Corporate Support,Open City and Technology,CM-18-1510,Technology Applications - Renewal,Reserves,Financial Stabilization Resrv.,75000.00
2023,Corporate Support,Open City and Technology,CM-18-1514,Technology Implementation - Growth,Pay-As-You-Go (PAYG),Pay-As-You-Go,103000.00
2023,Corporate Support,Open City and Technology,CM-18-1515,Technology Infrastructure - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,4074000.00
2023,Corporate Support,Parks and Roads Services,CM-33-3001,Commemorative Programs,Developer / Partner Financing,Partnership Funding,141000.00
2023,Corporate Support,Parks and Roads Services,CM-33-3001,Commemorative Programs,Pay-As-You-Go (PAYG),Pay-As-You-Go,45000.00
2023,Corporate Support,Parks and Roads Services,CM-66-0013,Parks and Roads Services - Equipment Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,2000.00
2023,Corporate Support,Service Innovation and Performance,CM-50-0010,Business Intelligence and Analytics - Capital Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,470000.00
2023,Corporate Support,Service Innovation and Performance,23-51-1906,Corporate Integrated Data Solution (CIDS),Pay-As-You-Go (PAYG),Pay-As-You-Go,60000.00
2023,Economic Development,Capital City Downtown CRL,CM-74-4100,Downtown Community Revitalization Levies Delivery,Community Revitalization Levy,Debt CRL Downtown,649000.00
2023,Economic Development,Capital City Downtown CRL,15-74-4109,Future Phase Green and Walkable - Other Streets,Community Revitalization Levy,Debt CRL Downtown,-374000.00
2023,Economic Development,Capital City Downtown CRL,15-74-4104,Warehouse Campus Neighbourhood Central Park Land Acquisition,Community Revitalization Levy,Debt CRL Downtown,271000.00
2023,Economic Development,Economic Investment Services,15-74-4111,EETP - Stormwater Drainage Solutions,Pay-As-You-Go (PAYG),Pay-As-You-Go,94000.00
2023,Economic Development,Financial Services,11-17-0099,Edmonton Arena,Developer / Partner Financing,Partnership Funding,116000.00
2023,Economic Development,Financial Services,11-17-0099,Edmonton Arena,Reserves,Financial Stabilization Resrv.,116000.00
2023,Economic Development,Infrastructure Delivery,21-12-0320,Edmonton Convention Centre Rehabilitation,Grants,Munc Sustain. Initiative - MSI,19257000.00
2023,Economic Development,Infrastructure Delivery,21-12-0320,Edmonton Convention Centre Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,6615000.00
2023,Economic Development,Infrastructure Delivery,23-10-9316,Edmonton Exhibition Lands Racetrack Infield Improvements,Grants,Munc Sustain. Initiative - MSI,2101000.00
2023,Economic Development,Infrastructure Delivery,23-10-9316,Edmonton Exhibition Lands Racetrack Infield Improvements,Pay-As-You-Go (PAYG),Pay-As-You-Go,346000.00
2023,Economic Development,Infrastructure Planning and Design,19-17-0601,River Crossing/West Rossdale Redevelopment,Retained Earnings,Land Fund Retained Earnings,365000.00
2023,Economic Development,Planning and Environment Services,15-17-3117,TOD Stadium Station Plan Street Network,Pay-As-You-Go (PAYG),Pay-As-You-Go,465000.00
2023,Economic Development,The Quarters Downtown CRL,15-74-4031,The Quarters Downtown - Phase II,Community Revitalization Levy,Debt CRL Quarters,345000.00
2023,Housing,Infrastructure Delivery,23-10-9318,Holyrood Supportive Housing,Grants,Rapid Housing Initiative (Federal),3355000.00
2023,Housing,Infrastructure Delivery,23-10-9318,Holyrood Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,2577000.00
2023,Housing,Infrastructure Delivery,23-10-9318,Holyrood Supportive Housing,Reserves,Financial Stabilization Resrv.,294000.00
2023,Housing,Infrastructure Delivery,21-10-9001,Inglewood Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,111000.00
2023,Housing,Infrastructure Delivery,21-10-9007,King Edward Park Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,127000.00
2023,Housing,Infrastructure Delivery,21-10-9008,McArthur Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,546000.00
2023,Housing,Infrastructure Delivery,21-10-9002,Terrace Heights Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,99000.00
2023,Housing,Infrastructure Delivery,21-10-9006,Westmount Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,292000.00
2023,Housing,Social Development,19-90-4100,Affordable Housing Land Acquisition & Site Development,Pay-As-You-Go (PAYG),Pay-As-You-Go,-2183000.00
2023,Housing,Social Development,19-90-4100,Affordable Housing Land Acquisition & Site Development,Reserves,Financial Stabilization Resrv.,609000.00
2023,Housing,Social Development,23-90-4101,Social Housing Capital Renewal Project (City-Owned Sites),Grants,National Housing Co-Investment Fund Contribution,8120000.00
2023,Land,Real Estate,CM-17-5046,Edmonton Exhibition Lands,Retained Earnings,Land Fund Retained Earnings,1004000.00
2023,Land,Real Estate,19-16-5055,Heritage Valley Land Development,Retained Earnings,Land Fund Retained Earnings,19477000.00
2023,Land,Real Estate,CM-16-2010,Industrial-Commercial-Investment Land Development,Retained Earnings,Land Fund Retained Earnings,3098000.00
2023,Land,Real Estate,CM-16-5110,Real Estate Investment Purchase,Retained Earnings,Land Fund Retained Earnings,4546000.00
2023,Land,Real Estate,CM-17-5120,Real Estate Transportation Legacy Land Acquisition,Retained Earnings,Land Fund Retained Earnings,6000.00
2023,Land,Real Estate,CM-16-2020,Residential/Mixed-Use Land Development,Retained Earnings,Land Fund Retained Earnings,2807000.00
2023,Land,Real Estate,CM-16-2025,Residential/Mixed-Use Land Development Acquisition,Retained Earnings,Land Fund Retained Earnings,11000.00
2023,Land,Real Estate,CM-16-5100,Strategic  Land Acquisition,Other Misc Financing,Operating Revenues,-1000.00
2023,Land,Real Estate,CM-17-5037,Surplus School Sites - First Place Program,Reserves,Affordable Housing Reserve,-12000.00
2023,Land,Real Estate,CM-17-5045,Transforming Surplus City Lands,Retained Earnings,Land Fund Retained Earnings,358000.00
2023,LRT Expansion,Edmonton Transit Service,CM-66-3300,LRT Signals and Electrification Renewal,Grants,Canada's Rail Safety Improvement Program (RSIP),100000.00
2023,LRT Expansion,Edmonton Transit Service,CM-66-3300,LRT Signals and Electrification Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,2035000.00
2023,LRT Expansion,Edmonton Transit Service,CM-66-3400,LRV Fleet & Equipment Renewal,Grants,Munc Sustain. Initiative - MSI,22000.00
2023,LRT Expansion,Edmonton Transit Service,CM-66-3400,LRV Fleet & Equipment Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,2068000.00
2023,LRT Expansion,Edmonton Transit Service,CM-61-3235,Transit Facility and ROW Renewal,Grants,Canada Community Revitalization Fund (CCRF),11000.00
2023,LRT Expansion,Edmonton Transit Service,CM-61-3235,Transit Facility and ROW Renewal,Grants,Canada's Rail Safety Improvement Program (RSIP),34000.00
2023,LRT Expansion,Edmonton Transit Service,CM-61-3235,Transit Facility and ROW Renewal,Grants,Munc Sustain. Initiative - MSI,377000.00
2023,LRT Expansion,Edmonton Transit Service,CM-61-3235,Transit Facility and ROW Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,29000.00
2023,LRT Expansion,LRT Expansion and Renewal,21-21-9110,129 Avenue Special Trackworks (Crossover),Grants,Munc Sustain. Initiative - MSI,3045000.00
2023,LRT Expansion,LRT Expansion and Renewal,21-21-9110,129 Avenue Special Trackworks (Crossover),Pay-As-You-Go (PAYG),Pay-As-You-Go,115000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7018,Capital Line South LRT: Century Park to Ellersie Road,Grants,Federal - Investing in Canada Infrastructure Prgm (ICIP),14724000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7018,Capital Line South LRT: Century Park to Ellersie Road,Grants,Provincial ICIP - matching,15394000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7018,Capital Line South LRT: Century Park to Ellersie Road,Tax-Supported Debt,Tax-Supported Debt,9411000.00
2023,LRT Expansion,LRT Expansion and Renewal,21-21-9100,Capital Line Wood Tie Replacement (66 Street - 129 Ave),Pay-As-You-Go (PAYG),Pay-As-You-Go,5000.00
2023,LRT Expansion,LRT Expansion and Renewal,24-24-9420,Coliseum LRT Bridge (B151) Minor Rehabilitation,Grants,Munc Sustain. Initiative - MSI,816000.00
2023,LRT Expansion,LRT Expansion and Renewal,24-24-9420,Coliseum LRT Bridge (B151) Minor Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,27000.00
2023,LRT Expansion,LRT Expansion and Renewal,21-21-9120,Government Centre LRT Station Electrical System Replacement,Pay-As-You-Go (PAYG),Pay-As-You-Go,791000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7020,LRT Prelim Design: Metro Line: Blatchford to Campbell Rd,Tax-Supported Debt,Tax-Supported Debt,708000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Grants,Federal - Investing in Canada Infrastructure Prgm (ICIP),17105000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Grants,Provincial ICIP - matching,17200000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Tax-Supported Debt,Tax-Supported Debt,10116000.00
2023,LRT Expansion,LRT Expansion and Renewal,08-66-1672,NLRT (Downtown to NAIT),Tax-Supported Debt,Tax-Supported Debt,265000.00
2023,LRT Expansion,LRT Expansion and Renewal,19-10-1011,Stadium LRT Station Upgrade,Tax-Supported Debt,Tax-Supported Debt,175000.00
2023,LRT Expansion,LRT Expansion and Renewal,11-66-1673,Valley Line LRT,Tax-Supported Debt,Tax-Supported Debt,9877000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Grants,Federal - Investing in Canada Infrastructure Prgm (ICIP),78699000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Grants,Provincial ICIP - matching,82189000.00
2023,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Tax-Supported Debt,Tax-Supported Debt,50616000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9043,132 Avenue: Fort Road to 97 Street Reconstruction,Reserves,Neighborhood Renewal Reserve,1542000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9044,Allendale Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,682000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9031,Baturyn Neighbourhood and Alley Reconstruction,Local Improvements,Local Improvements Property Share,1368000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9031,Baturyn Neighbourhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,92000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9031,Baturyn Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,13299000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9045,Beverly Heights Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,845000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9039,Boyle Street Neighborhood Reconstruction,Reserves,Neighborhood Renewal Reserve,1349000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9040,Gariepy Neighborhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,1745000.00
2023,Neighbourhoods,Building Great Neighbourhoods,24-40-9048,Glenwood (163 Street West) Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,1496000.00
2023,Neighbourhoods,Building Great Neighbourhoods,CM-21-5800,Great Neighbourhoods Initiative,Tax-Supported Debt,Tax-Supported Debt,-868000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9041,Hairsine Neighborhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,1552000.00
2023,Neighbourhoods,Building Great Neighbourhoods,24-40-9047,Hillview Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,1225000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9035,Kilkenny Alley Reconstruction,Local Improvements,Local Improvements Property Share,80000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9035,Kilkenny Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,4342000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9032,McCauley Neighbourhood and Alley Reconstruction,Local Improvements,Local Improvements Property Share,823000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9032,McCauley Neighbourhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,133000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9032,McCauley Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,13533000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9042,Meyokumin Neighborhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,1992000.00
2023,Neighbourhoods,Building Great Neighbourhoods,20-40-9021,NARP Recon - King Edward Park Alleys,Reserves,Neighborhood Renewal Reserve,46000.00
2023,Neighbourhoods,Building Great Neighbourhoods,09-66-1056,Neighbourhood (NBHD) Renewal,Reserves,Neighborhood Renewal Reserve,17000.00
2023,Neighbourhoods,Building Great Neighbourhoods,CM-66-4000,NRP NBHD Renewal - Composite,Reserves,Neighborhood Renewal Reserve,92000.00
2023,Neighbourhoods,Building Great Neighbourhoods,12-66-1056,NRP Neighbourhood Renewal - Composite,Reserves,Neighborhood Renewal Reserve,1000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9010,NRP Recon - Alberta Avenue,Reserves,Neighborhood Renewal Reserve,905000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-66-4036,NRP Recon - Allendale,Reserves,Neighborhood Renewal Reserve,8000.00
2023,Neighbourhoods,Building Great Neighbourhoods,14-66-1083,NRP Recon - Belgravia,Reserves,Neighborhood Renewal Reserve,158000.00
2023,Neighbourhoods,Building Great Neighbourhoods,13-66-1080,NRP Recon - Bonnie Doon,Reserves,Neighborhood Renewal Reserve,18000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9024,NRP Recon - Calder,Local Improvements,Local Improvements Property Share,1587000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9024,NRP Recon - Calder,Reserves,Neighborhood Renewal Reserve,21947000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9016,NRP Recon - Canora / West Jasper Place,Reserves,Neighborhood Renewal Reserve,1000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9011,NRP Recon - Central McDougall,Reserves,Neighborhood Renewal Reserve,47000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9025,NRP Recon - Garneau,Local Improvements,Local Improvements Property Share,474000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9025,NRP Recon - Garneau,Pay-As-You-Go (PAYG),Pay-As-You-Go,316000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9025,NRP Recon - Garneau,Reserves,Financial Stabilization Resrv.,270000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9025,NRP Recon - Garneau,Reserves,Neighborhood Renewal Reserve,7571000.00
2023,Neighbourhoods,Building Great Neighbourhoods,20-40-9018,NRP Recon - Grandview Heights,Reserves,Neighborhood Renewal Reserve,4000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9012,NRP Recon - Highlands,Reserves,Neighborhood Renewal Reserve,173000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9013,NRP Recon - Inglewood,Reserves,Neighborhood Renewal Reserve,448000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9026,NRP Recon - Malmo Plains,Local Improvements,Local Improvements Property Share,130000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9026,NRP Recon - Malmo Plains,Reserves,Neighborhood Renewal Reserve,115000.00
2023,Neighbourhoods,Building Great Neighbourhoods,16-66-4014,NRP Recon - McKernan,Reserves,Neighborhood Renewal Reserve,2000.00
2023,Neighbourhoods,Building Great Neighbourhoods,15-66-4010,NRP Recon - Montrose,Reserves,Neighborhood Renewal Reserve,6000.00
2023,Neighbourhoods,Building Great Neighbourhoods,15-66-4050,NRP Recon - Newton (S/123 Ave),Reserves,Neighborhood Renewal Reserve,1000.00
2023,Neighbourhoods,Building Great Neighbourhoods,18-66-4029,NRP Recon - Prince Charles,Reserves,Neighborhood Renewal Reserve,1000.00
2023,Neighbourhoods,Building Great Neighbourhoods,13-66-1052,NRP Recon - Queen Alexandra,Reserves,Neighborhood Renewal Reserve,3000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9015,NRP Recon - Royal Gardens,Reserves,Neighborhood Renewal Reserve,6000.00
2023,Neighbourhoods,Building Great Neighbourhoods,18-66-4024,NRP Recon - Spruce Avenue,Reserves,Neighborhood Renewal Reserve,49000.00
2023,Neighbourhoods,Building Great Neighbourhoods,19-40-9014,NRP Recon - Strathcona,Reserves,Neighborhood Renewal Reserve,255000.00
2023,Neighbourhoods,Building Great Neighbourhoods,15-66-4013,NRP Recon - Strathearn,Reserves,Neighborhood Renewal Reserve,11000.00
2023,Neighbourhoods,Building Great Neighbourhoods,13-66-1081,NRP Recon - Westmount,Reserves,Neighborhood Renewal Reserve,4000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9023,NRP/NARP Recon - Beaumaris Neighbourhood and Alleys,Local Improvements,Local Improvements Property Share,1123000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9023,NRP/NARP Recon - Beaumaris Neighbourhood and Alleys,Pay-As-You-Go (PAYG),Pay-As-You-Go,527000.00
2023,Neighbourhoods,Building Great Neighbourhoods,21-40-9023,NRP/NARP Recon - Beaumaris Neighbourhood and Alleys,Reserves,Neighborhood Renewal Reserve,10333000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9033,Ottewell Neighbourhood Reconstruction,Local Improvements,Local Improvements Property Share,1529000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9033,Ottewell Neighbourhood Reconstruction,Reserves,Neighborhood Renewal Reserve,12461000.00
2023,Neighbourhoods,Building Great Neighbourhoods,24-40-9049,Overlanders and Homesteader Neighbourhoods Reconstruction,Reserves,Neighborhood Renewal Reserve,1506000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9036,"Pollard Meadows, Daly Grove, Crawford Plains Alley Reconstruction",Reserves,Neighborhood Renewal Reserve,3564000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9037,Royal Gardens and Rideau Park Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,2580000.00
2023,Neighbourhoods,Building Great Neighbourhoods,23-40-9046,Strathearn Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,572000.00
2023,Parks,Building Great Neighbourhoods,19-30-1100,Beaumaris Lake Open Space Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,25000.00
2023,Parks,Building Great Neighbourhoods,23-30-9322,Beaver Hills House/Michael Phair Parks Upgrades,Community Revitalization Levy,Debt CRL Downtown,212000.00
2023,Parks,Building Great Neighbourhoods,23-30-9322,Beaver Hills House/Michael Phair Parks Upgrades,Pay-As-You-Go (PAYG),Pay-As-You-Go,254000.00
2023,Parks,Building Great Neighbourhoods,16-17-6140,Boat Docks and Launches,Pay-As-You-Go (PAYG),Pay-As-You-Go,3000.00
2023,Parks,Building Great Neighbourhoods,19-30-1000,Bulyea Heights Park Development,Reserves,Affordable Housing Reserve,-10000.00
2023,Parks,Building Great Neighbourhoods,19-30-1000,Bulyea Heights Park Development,Reserves,Funds-in-Lieu Reserve,10000.00
2023,Parks,Building Great Neighbourhoods,21-10-9104,Centennial Plaza Renewal,Community Revitalization Levy,Debt CRL Downtown,2477000.00
2023,Parks,Building Great Neighbourhoods,21-10-9104,Centennial Plaza Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,8164000.00
2023,Parks,Building Great Neighbourhoods,24-32-9430,Clarke Stadium Artificial Turf Renewal,Grants,Munc Sustain. Initiative - MSI,169000.00
2023,Parks,Building Great Neighbourhoods,24-32-9430,Clarke Stadium Artificial Turf Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,6000.00
2023,Parks,Building Great Neighbourhoods,21-32-9100,Confederation District Park Renewal,Grants,Canada Community Revitalization Fund (CCRF),325000.00
2023,Parks,Building Great Neighbourhoods,21-32-9100,Confederation District Park Renewal,Grants,Munc Sustain. Initiative - MSI,1542000.00
2023,Parks,Building Great Neighbourhoods,21-32-9100,Confederation District Park Renewal,Grants,Other Grants - Federal,-221000.00
2023,Parks,Building Great Neighbourhoods,21-32-9100,Confederation District Park Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,61000.00
2023,Parks,Building Great Neighbourhoods,21-30-9303,Glengarry District Park Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,1236000.00
